Country Name,Access to clean fuels and technologies for cooking (% of population) ,Access to electricity (% of population) ,Adjusted savings: natural resources depletion (% of GNI) ,CO2 emissions (metric tons per capita) ,Energy use (kg of oil equivalent per capita) ,Forest area (% of land area) ,Agricultural land (% of land area) ,GDP growth (annual %) ,Net migration ,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ",Population density (people per sq. km of land area) ,Renewable energy consumption (% of total final energy consumption) ,Tree Cover Loss (hectares) 
Afghanistan,12.5,28.66967201,5.640906544,0.08036113437,5618.169063,1.852781994,58.13440044,11.22971482,252185,46.15192895,37.42727412,33.88,236
Albania,52,99.37112427,0.4490981448,1.360092207,719.5843781,28.30967153,39.30656934,5.526424247,-50855,22.16948971,109.9082847,36.77,695
Algeria,98.4,98.61431885,22.88392887,2.85792657,983.6821598,0.7341271507,17.3028962,5.899999997,-111256,34.00185152,13.83723244,0.58,4470
Andorra,100,100,4.747532507,7.206273645,2385.144571,34.04255319,46.38297872,5.397795985,2467,12.17828755,169.8425532,16.61,2
Angola,42.6,29.44830894,34.12711865,0.8128750875,433.1856337,60.10532205,35.4399615,15.02999999,64009,28.31636067,15.60195636,68.38,93435
Antigua and Barbuda,100,92.2,2.843158521,4.716473225,1715.308818,20.71590909,20.45454545,6.473831316,202,16.5773788,181.5204545,17.58642857,61
Argentina,98,96.7252655,4.876556062,3.736716865,1712.85349,11.61841495,47.47373652,8.85165992,-21961,13.29202423,14.27655343,9.64,367249
Armenia,90.8,99.8,0.009843667988,1.463912004,824.4519806,11.64734809,56.37513172,13.9,-31023,31.92346789,107.0335792,6.49,104
Australia,100,100,1.850911484,18.27847309,5624.192019,17.01054372,53.39937258,3.154139257,132109,6.904730947,2.626406675,6.71,177023
Austria,100,100,0.09579279492,9.266405512,4085.567651,46.66347552,34.61948619,2.244065325,50282,16.47804063,99.70708919,24.41,21657
Azerbaijan,85.1,99.11943817,21.05257624,3.580068757,1599.960676,12.21700097,57.56835229,27.96153811,16436,23.1507772,101.5225018,3.36,246
"Bahamas, The",100,100,0.006371150231,5.622707042,2001.127072,50.93506494,1.098901099,3.396084205,800,16.44163266,34.74565435,1.71,1450
Bahrain,100,100,22.74775988,22.94402725,11510.31853,0.6013513514,12.66216216,6.768997871,53401,66.59652745,1218.812162,32.91,48788.85714
Bangladesh,9.3,44.23,0.8717232324,0.2321353968,161.7588677,14.62960052,71.5295383,6.535944939,-715970,55.06194439,1082.527387,50.66,3293
Barbados,100,99.86960602,0.3348981065,4.921013667,1447.247817,14.65116279,37.20930233,3.955457604,-172,19.76708368,626.6906977,6.38,10
Belarus,97.1,91.52557373,0.9936050444,5.842828709,2768.821539,41.66728294,44.12003964,9.400001589,-11902,21.00241299,47.64468799,6.83,36192
Belgium,100,100,0.0155229234,10.58920275,5555.615784,22.41033686,45.67371202,2.321737054,46280,15.83183972,346.0573646,2.44,3028
Belize,82.7,83.47122192,0.2038132384,1.552563531,574.2309407,62.48772468,6.663743972,2.219189271,2397,21.00124164,12.291758,31.01,8104
Benin,2.4,26.10182953,0.0004264551578,0.3558045058,306.6825991,34.45503725,30.89748138,1.713164564,30492,41.76793893,72.2722508,59.2,1591
Bhutan,46.6,59.80811164,2.495677197,0.5961198391,307.5424793,69.67088176,15.55736286,7.287249352,1779,39.28993221,17.40228769,91.67,770
Bolivia,68.8,68.288209,7.108352418,1.053918213,553.9249309,49.93418259,34.11981907,4.421433127,-14657,27.56278704,8.65631681,25.07,250748
Bosnia and Herzegovina,48.7,99.08548737,0.4184788134,3.962926969,1230.974939,41.15537109,42.12890625,3.89717799,-37107,35.95591128,79.96673828,19.73,574
Botswana,51.95,37.45757675,2.006899949,2.260452333,986.0492908,30.04817109,45.55079138,4.556645653,4771,24.43023197,3.339874367,33,49
Brazil,91.6,97.093513,2.017600869,1.775662922,1152.75657,63.57092009,27.3795366,3.202132061,-42926,14.56811401,22.34915113,46.13,3486563
Brunei Darussalam,100,100,24.72254803,13.61076798,6048.015227,73.71916509,2.466793169,0.3875072082,1163,6.693596917,69.5857685,10.53357143,1278
Bulgaria,38.08571429,90.64060974,0.330612946,6.265279466,2597.896167,32.73195876,48.46281296,7.056349601,-3832,23.85248605,70.4986377,9.83,6567
Burkina Faso,3.9,11.14756775,0.03207785397,0.08296911667,3433.721044,25.4623538,39.04605263,8.661873228,9794,54.9070878,50.71683845,87.7,17
Burundi,0.3,3.207317073,27.07463546,0.02178951759,2956.239703,7.552180685,70.83333333,0.9000000009,17913,33.64156521,287.7287383,96.01,985
Cabo Verde,65,67,1.342408303,0.9161429873,200.881851,10.22828784,18.85856079,6.912457957,-3673,42.85174163,122.2895782,23.88,5
Cambodia,6.8,20.5,3.761556917,0.2006177744,259.3807777,60.53203603,30.34217086,13.25008691,-11435,29.35286761,75.04295831,79.24,64649
Cameroon,14.7,47.2206955,6.460597329,0.2903762863,408.3631357,44.95141842,19.48975059,2.228270209,-27782,61.29110011,36.54496626,86.31,25159
Canada,100,100,3.31552316,17.0275681,8422.034308,38.7662262,6.876959575,3.210454357,204710,9.020255828,3.596389418,21.26,2920793
Central African Republic,0.5,7.431255341,0.001577897763,0.05324515056,917.6337145,36.52284182,7.937654499,0.9082105149,-13609,41.7241462,6.755969694,90.96,29317
Chad,2.3,4.753861904,28.04085699,0.07962009441,2956.239703,4.718472046,38.85800508,17.33253374,19281,59.44666881,7.945530496,83.82,472
Chile,100,97.6824646,6.120534719,3.460143672,1753.53055,21.8836042,21.36424525,5.837045715,14336,21.10676982,21.75469381,32.26,106926
China,47.3,97.93093872,3.246712338,4.467696361,1393.691324,20.11090813,56.01090318,11.39459181,-519752,51.55204637,138.8677661,17.44,383588
Colombia,82.3,96.8,5.226452712,1.37815501,641.4757938,55.67520955,38.35691753,4.828761108,-41348,23.55652816,38.05402434,28.94,188744
Comoros,1.4,50.95787811,1.300635147,0.2480246607,62.42797583,21.21977431,71.46695325,2.83754787,-2717,17.37458137,318.4755508,65.74,87
"Congo, Dem. Rep.",2.1,6,22.70693153,0.03905730067,294.666476,61.98981055,11.27015284,6.135151155,20379,35.92843565,24.94441984,97.42,485293
"Congo, Rep.",11.5,33.8,44.67845147,1.174358582,295.8969887,64.81698389,30.88433382,7.755758978,38337,36.89651998,10.75501903,63.11,18853
Costa Rica,90.7,99.053051,0.456865199,1.453675687,895.6979179,56.09498629,35.35056796,3.976666368,7022,18.192241,84.52579318,41.73,16563
Cote d'Ivoire,16.6,58.9,2.743029875,0.3097750869,507.0279383,14.24533019,63.52201258,0.9960655649,-117468,56.69825521,59.65476415,77.92,65321
Croatia,100,99.87893677,0.5496638533,4.975470663,2261.483778,33.99506826,21.63891073,4.307492848,-3834,23.07265013,77.01638553,26.82,2747
Cuba,82.8,96.76560974,1.137939917,2.340177238,948.738382,25.2113867,62.35437805,11.20165656,-11973,19.00076003,105.6568395,26.31,12834
Cyprus,100,100,0.001011839189,7.618445185,2140.019594,18.63906926,18.07359307,4.853003838,13237,17.96776089,112.2361472,3.34,35
Czechia,100,99.95427704,0.2203481369,11.93722667,4400.878113,34.2652731,46.66696868,6.60161753,24895,20.87395739,132.1669169,7.53,25560
Denmark,100,100,1.451072556,9.263313941,3487.631914,14.476125,67.675,2.336641308,11693,13.09783363,135.4858,16.12,9049
Djibouti,4.8,56.75147629,0.5241302134,0.5166929246,167.2963348,0.2415875755,73.4124245,2.91208603,-3779,39.76661984,35.84387403,33.09,2989.428571
Dominica,84.8,86.01795197,0.02350430424,2.160934269,597.0236188,63.82666667,29.33333333,0.6558622689,-314,17.52865528,91.56533333,10.02,52
Dominican Republic,86.6,90.141224,0.5774285392,2.039418783,754.4926396,41.87114469,50.03104947,9.428236947,-30883,17.47346106,189.7074726,19.44,25088
Ecuador,91.6,95.83265,13.96217338,2.049402717,678.1055093,53.87077227,30.19809953,5.291308267,-16816,19.62900732,55.44375906,16.16,40379
"Egypt, Arab Rep.",95.6,99.4,10.2520913,2.051425407,777.4377615,0.06271033201,3.539102918,4.471744472,-18144,69.6572716,79.4367472,6.48,53
El Salvador,67.8,87.525839,0.5119809168,1.132246969,746.5600564,31.43725869,58.81274131,2.680830094,-91042,24.81827804,291.4004344,34.08,5881
Equatorial Guinea,20.5,64.99359131,87.71346965,6.487488522,1444.388165,91.7573975,3.671301248,16.74870061,15549,40.2537776,30.82802139,7.1,1609
Eritrea,5.7,34.49744797,3.222208424,0.2082930164,269.0784297,9.11098558,62.15228042,2.574449551,-12841,42.13880224,23.3978465,74.69,36024.92857
Estonia,100,99.95427704,0.8442745358,12.40626672,3846.392943,53.9621373,20.80443501,9.526426972,-5242,8.36496091,31.95977825,18.9,14818
Eswatini,30.8,34.21650314,1.21683099,0.9166086692,372.2410779,27.86947674,71.1627907,5.99877655,-8000,23.11401387,62.31895349,66.56,12448.21429
Ethiopia,1.2,14,23.54152637,0.06518012019,475.9016336,16.0938364,29.76342988,11.81876595,-44423,31.47408068,68.64252708,94.73,15869
Fiji,29.5,81.57129669,0.7958567219,1.224222017,660.629564,56.91598248,18.76299945,0.7000004024,-6729,11.098569,47.88850575,40.02,1666
Finland,100,100,0.02852743165,10.57170894,6562.022311,73.35703733,7.465117043,2.779850556,9406,7.114175404,17.22346761,31.52,230334
France,100,100,0.00936008844,6.026677842,4286.543803,28.95315008,53.67550776,1.66321998,155943,14.89539999,115.4005793,8.66,46391
Gabon,73,81.6,29.63787475,4.154206835,2059.642624,91.87994334,8.120056662,2.676203333,8555,34.34349626,5.659770249,85.25,17699
"Gambia, The",3.3,30.4562675,2.690589172,0.1984499822,65.04582117,32.47677866,47.92490119,-2.351729362,-3204,55.3530761,164.0679842,61.71,6
Georgia,54.3,97.93505412,0.4519975244,1.087286023,727.880734,40.17124766,36.26421068,9.589574062,-31214,16.51679403,68.27511459,41.48,549
Germany,100,100,0.06827769913,9.729463121,4086.503407,32.6341897,48.83300837,0.7317071636,102694,15.08202344,236.4646806,7.28,39739
Ghana,9.95,41.25,11.34426786,0.2814203578,261.5999386,36.89799596,53.26351235,5.900003819,21273,52.84830506,98.87031291,61.43,41346
Greece,100,100,4.968279159,9.278637163,2753.051201,29.10020403,62.10240497,0.5991420365,-7559,19.15743208,85.23905353,8.01,4181
Grenada,93.2,87.51604462,0.5606420923,2.067952183,716.5272915,52.05882353,26.47058824,13.27618833,-369,19.66107509,324.2764706,10.58,47
Guatemala,37.9,78.30607605,0.7274985419,0.8925964907,602.3859363,37.0091452,42.57185517,3.276026926,-49600,29.198214,120.8313923,65.24,100829
Guinea,0.8,20.2,15.26155699,0.200829005,1175.133409,27.46622172,57.46784958,2.997272563,-71104,50.87115318,37.19727332,81.56,14581
Guinea-Bissau,1.2,5.221800804,13.66253742,0.1518431732,63.0565922,74.9166074,25.0833926,4.266098931,-4662,52.66763856,49.06518492,88.53,3928
Guyana,47.7,77.5,16.39080763,1.950220413,651.5652704,94.19362459,5.293370587,-1.950957595,-13000,22.24598196,3.859329439,34.87,5832
Haiti,3.2,34.53017044,0.3552669939,0.1870959953,373.810731,13.77050073,64.22351234,3.072173377,-26304,18.63563931,330.6204644,81.11,2033
Honduras,37.35,68.903309,1.195369109,0.9218713502,543.3159634,59.67351863,28.15264992,6.050599222,-6187,25.50601519,67.60758781,51.37,40472
Hungary,100,99.92795563,0.2511703483,5.543852449,2731.039703,22.13793103,65.42796563,4.29427761,16615,20.28580736,112.5662872,7.29,10398
Iceland,100,100,6.183843371,7.620461423,10524.8775,0.3715710723,18.77306733,6.124438965,3918,6.649553492,2.95994015,62.7,26042.92857
India,28.1,68.8404541,1.82951156,0.9842614726,447.0279363,23.05385798,60.58341377,7.923430621,-550186,70.80607699,388.3501266,44.16,62505
Indonesia,16,84.77742004,7.223341486,1.495368915,785.6755965,53.51189522,27.76536482,5.692571303,-102380,21.75442599,121.8656876,41.57,1182442
"Iran, Islamic Rep.",95.4,98.40142059,9.241843875,6.423183788,2460.267128,6.145055134,29.24371915,3.189804081,323987,38.35606228,43.08958594,1.4,173
Iraq,86.8,97.42424774,11.18265803,2.966264934,920.9587799,1.878272401,20.21172005,1.671889624,51019,50.85365062,65.61648947,2.43,5
Ireland,100,100,0.05290726806,11.21429433,3503.642864,9.803599942,62.44737988,5.739781672,64192,10.4600038,60.38487444,2.89,8094
Israel,100,100,0.03749203142,8.803971083,2661.449185,7.093345656,23.7754159,4.134076619,13756,23.26803051,320.2449168,7.03,137
Italy,100,100,0.07658070384,8.173814347,3214.674121,29.41533826,49.83125816,0.8178489737,250910,21.57351808,196.0296093,6.7,10896
Jamaica,82.2,87.95703125,0.622399024,3.946298335,1387.249553,49.83610342,43.1209603,0.8937979359,-18072,15.37177139,247.1710988,5.43,7598
Japan,100,100,0.006605732743,9.512764042,4062.979049,68.37037037,13.93689986,1.803900872,153248,12.05741833,350.5432099,4.01,36374
Jordan,99.8,99.0349884,0.08148868208,3.498966459,1175.720177,1.10494107,11.4800544,8.146594811,3500,33.33893938,64.35328649,1.69,10434.92857
Kazakhstan,88.5,100,20.97940559,11.17166937,3358.971122,1.15551828,78.63318146,9.699999999,22958,17.53591329,5.610634145,2.09,3167
Kenya,4,24.52250099,4.076461319,0.2429371864,446.4582913,6.657000035,47.44351126,5.90666608,5496,23.2584201,62.97749236,80.69,12745
Kiribati,1.6,69.67640546,0.01968762748,0.6295586977,81.49627155,1.456790123,41.97530864,4.951631626,-226,10.27696685,121.1901235,48.51,7559.214286
"Korea, Dem. People's Rep.",3.3,79.8145067,3.186213459,3.223030497,885.2690318,52.72435844,21.59289096,3.440723382,-2860,40.67379917,200.1576447,9.23,16529
"Korea, Rep.",100,100,0.0178790151,9.982494185,4364.219091,66.40681466,19.42178627,4.308542714,-36504,23.59097074,497.5174084,0.87,8922
Kuwait,100,100,11.26363298,31.27431609,11757.02547,0.3114478114,8.417508418,10.60904498,68878,65.2862992,125.4434905,33.46428571,44687.5
Kyrgyz Republic,62.9,99.44230769,1.910285263,1.027970403,498.5427885,6.284098019,56.02189781,-0.1755154125,-27130,22.57651105,26.91657977,28.03,82
